timestamp	commit	skill	old_score	new_score	status	dimension	note	eval_mode
2026-05-29T23:32	re-reeval-all	msra-data-prep	87.8	84.5	reeval	d1=8,d2=8,d3=9,d4=9,d5=9,d6=9,d7=8,d8=8,d9=9	二次重评：Phase 7/8重叠,Phase 2交互框架具体性不足,变量构造已移出	dry_run
2026-05-29T23:32	re-reeval-all	msra-analysis-plan	87.2	87.5	reeval	d1=9,d2=9,d3=9,d4=9,d5=9,d6=9,d7=8,d8=8,d9=9	二次重评：六阶段流程完整,决策树详细但偏长	dry_run
2026-05-29T23:32	re-reeval-all	msra-analysis-exec	88.8	88.8	reeval	d1=9,d2=9,d3=9,d4=9,d5=9,d6=9,d7=8,d8=9,d9=9	二次重评：Generator-Evaluator设计优秀,SKIP机制好,d7因篇幅扣分	dry_run
2026-05-29T23:32	re-reeval-all	msra-report	86.8	86.5	reeval	d1=8,d2=9,d3=9,d4=9,d5=9,d6=9,d7=8,d8=8,d9=9	二次重评：两阶段生成策略+模板系统独特,567行偏长	dry_run
2026-05-29T23:32	re-reeval-all	jama-methods	85.0	84.0	reeval	d1=8,d2=8,d3=9,d4=9,d5=9,d6=6,d7=8,d8=8,d9=9	二次重评：41章知识库完整但核心框架与章节索引重叠,dim6拉低	dry_run
2026-05-29T23:38	8a4c257	jama-methods	84.0	87.4	keep	dim6+dim7	核心框架从120行散文压缩为20行速查表,消除与章节索引重叠;-98行(-29%)	dry_run
2026-05-29T23:42	d8d271f	msra-data-prep	84.5	86.6	keep	dim2+dim7	Phase7输出清单合并入Phase8门闸前置产物表,工作流从8阶段精简为7阶段,修复Phase引用	dry_run
2026-05-29T23:45	c901231	msra-report	86.5	88.2	keep	dim7	Phase2.5自定义模板流程压缩+JSON骨架精简+输出清单压缩;-46行(-8%)	dry_run
2026-05-29T23:48	c323541	msra-analysis-plan	87.5	88.4	keep	dim7	Phase3决策树从42行ASCII压缩为20行紧凑流程;-20行(-5%)	dry_run
2026-05-29T23:51	a03028a	msra-analysis-exec	88.8	90.4	keep	dim7	Generator-Evaluator ASCII图压缩(20→6行)+R代码模板压缩(37→3行);-61行(-13%)	dry_run
2026-05-29T23:52	summary	-	-	-	phase3	优化汇总：5个skill共5轮优化，0回滚，平均+1.7分，总减行-230行	dry_run
2026-05-30T08:40	5e8d5b0	msra-data-prep	86.6	93.3	keep	dim7+dim8	Phase7去重(pipeline §3引用)+值规范化测试prompt; 子agent独立评分93.3	full_test
2026-05-30T08:47	aaa4374	msra-report	88.2	89.5	keep	dim7	Phase7端到端示例压缩(82→35行)+删除重复反例引导语;-46行(-8%)	dry_run
2026-06-10T09:37	reeval	msra-pipeline	90.0	90.0	reeval	d1=9,d2=10,d3=10,d4=10,d5=9,d6=10,d7=8,d8=8,d9=10	编排器身份定位出色；3个测试用例对7阶段覆盖偏窄；Stage 2 Mode为空瑕疵	dry_run
2026-06-10T09:37	reeval	msra-data-prep	87.8	82.8	reeval	d1=9,d2=9,d3=9,d4=9,d5=8,d6=9,d7=9,d8=7,d9=9	Phase2.5值规范化增强；反例18条突出；测试指引薄弱(dim8)	dry_run
2026-06-10T09:37	reeval	msra-analysis-plan	88.4	89.1	reeval	d1=9,d2=10,d3=10,d4=9,d5=9,d6=10,d7=10,d8=7,d9=10	决策树+Estimands框架强；21条反例；stat_test_decision_tree.md未引用	dry_run
2026-06-10T09:37	reeval	msra-analysis-exec	90.4	92.0	reeval	d1=9,d2=10,d3=10,d4=9,d5=8,d6=10,d7=10,d8=9,d9=10	Generator-Evaluator设计+自愈Debug最强；20次"建议"软词；gtsummary模板未引用	dry_run
2026-06-10T09:37	reeval	msra-report	89.5	78.6	reeval	d1=8,d2=9,d3=9,d4=9,d5=10,d6=9,d7=9,d8=4,d9=9	零软性措辞(亮点)；test-prompts仅3条统计知识欠覆盖(dim8=4严重)；janitor/gtsummary模板未引用	dry_run
2026-06-10T09:47	3861a22	msra-analysis-exec	92.0	93.5	keep	dim5+dim6	消除20处"建议"软词+模板引用补充	dry_run
2026-06-10T09:47	3861a22	msra-report	78.6	83.0	keep	dim6+dim8	新增3条报告工作流测试+模板引用	dry_run
2026-06-10T09:47	3861a22	msra-analysis-plan	89.1	89.5	keep	dim6	新增stat_test_decision_tree.md引用	dry_run
2026-06-10T09:55	reeval	msra-analysis-exec	92.0	99.0	score	dim5=10,dim6=10	20处"建议"清零+模板引用；+7.0分，全场最高	dry_run
2026-06-10T09:55	reeval	msra-report	83.0	89.6	score	dim6=10,dim8=8	test-prompts 3→6条+模板引用；+11.0分，修复幅度最大	dry_run
2026-06-10T09:55	reeval	msra-analysis-plan	89.5	91.9	score	dim6=10	新增决策树引用+全维度维持稳定性；+2.8分	dry_run
2026-06-13T23:30	reval-v071	msra-pipeline	90.0	90.0	reeval	d1=9,d2=10,d3=10,d4=10,d5=9,d6=10,d7=8,d8=8,d9=10	v0.7.1重评：编排器架构不变；7阶段+3门闸+收敛检测优秀；789行偏重	dry_run
2026-06-13T23:30	reval-v071	msra-data-prep	82.8	88.7	reeval	d1=9,d2=9,d3=9,d4=9,d5=8,d6=10,d7=9,d8=9,d9=9	v0.7.1重评：test-prompts 10→15条(+5)；新增模板引用(dim6=10)；dim8从7升9	dry_run
2026-06-13T23:30	reval-v071	msra-analysis-plan	89.5	91.2	reeval	d1=9,d2=10,d3=10,d4=9,d5=9,d6=10,d7=10,d8=8,d9=10	v0.7.1重评：新增TTE方法分支+MR/NMA章节引用；12条test-prompts	dry_run
2026-06-13T23:30	reval-v071	msra-analysis-exec	99.0	93.0	reeval	d1=9,d2=10,d3=10,d4=9,d5=9,d6=10,d7=10,d8=9,d9=10	v0.7.1重评：上次99分为judge偏差修正；Generator-Evaluator+自愈Debug仍最强	dry_run
2026-06-13T23:30	reval-v071	msra-report	89.6	88.2	reeval	d1=9,d2=9,d3=9,d4=9,d5=9,d6=10,d7=9,d8=8,d9=9	v0.7.1重评：Quarto模板新增；CONSORT 2025更新；6条test-prompts偏少	dry_run
2026-06-13T23:30	reval-v071	msra-calibration	-	81.1	reeval	d1=9,d2=8,d3=7,d4=8,d5=8,d6=9,d7=8,d8=6,d9=9	首次评估v0.7.1：4模式清晰；自验证3项；金标准为合成数据(dim8=6)；反例9条	dry_run
2026-06-13T23:30	summary-v071	-	-	-	reval-v071	6个skill重评：avg 88.7(上次88.0)；calibration首次评估81.1为最弱环节	dry_run
